更新时间: 2025-11-25 03:23:20（北京时间）

更新时间,#genre#
2025-11-25 03:23:20,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV11,http://180.159.98.21:10001/rtp/239.45.1.196:5140$上海市电信
CCTV11,http://113.25.107.142:10000/rtp/239.1.1.18:8018$山西电信
CCTV11,http://183.30.202.8:8000/rtp/239.77.1.108:5146$广东电信
CCTV11,http://183.30.202.8:8000/rtp/239.77.1.238:5146$广东电信
CCTV11,http://116.30.248.183:9876/rtp/239.77.1.108:5146$广东电信
CCTV11,http://116.30.248.183:9876/rtp/239.77.1.238:5146$广东电信
CCTV12,http://121.56.186.21:4022/rtp/239.29.0.120:5000$内蒙古电信
CCTV12,http://116.30.248.139:9876/rtp/239.77.0.136:5146$广东电信
CCTV12,http://116.30.248.139:9876/rtp/239.77.1.109:5146$广东电信
CCTV12,http://180.117.136.123:55555/rtp/239.49.8.55:9822$江苏电信
CCTV12,http://113.110.203.130:55555/rtp/239.77.0.136:5146$广东电信
CCTV12,http://113.110.203.130:55555/rtp/239.77.1.109:5146$广东电信
CCTV12,http://111.227.41.176:7000/rtp/239.254.200.161:6000$河北省电信
CCTV12,http://180.159.98.21:10001/rtp/239.45.3.10:5140$上海市电信
CCTV12,http://113.25.107.142:10000/rtp/239.1.1.19:8019$山西电信
CCTV12,http://183.30.202.8:8000/rtp/239.77.0.136:5146$广东电信
CCTV12,http://183.30.202.8:8000/rtp/239.77.1.109:5146$广东电信
CCTV12,http://116.30.248.183:9876/rtp/239.77.0.136:5146$广东电信
CCTV12,http://116.30.248.183:9876/rtp/239.77.1.109:5146$广东电信
CCTV13,http://121.56.186.21:4022/rtp/239.29.1.123:5000$内蒙古电信
CCTV13,http://116.30.248.139:9876/rtp/239.77.0.188:5146$广东电信
CCTV13,http://116.30.248.139:9876/rtp/239.253.43.196:5146$广东电信
CCTV13,http://180.117.136.123:55555/rtp/239.49.8.109:8000$江苏电信
CCTV13,http://113.110.203.130:55555/rtp/239.77.0.188:5146$广东电信
CCTV13,http://113.110.203.130:55555/rtp/239.253.43.196:5146$广东电信
CCTV13,http://111.227.41.176:7000/rtp/239.254.200.9:8264$河北省电信
CCTV13,http://180.159.98.21:10001/rtp/239.45.1.198:5140$上海市电信
CCTV13,http://113.25.107.142:10000/rtp/239.1.1.20:8020$山西电信
CCTV13,http://183.30.202.8:8000/rtp/239.77.0.188:5146$广东电信
CCTV13,http://183.30.202.8:8000/rtp/239.253.43.196:5146$广东电信
CCTV13,http://116.30.248.183:9876/rtp/239.77.0.188:5146$广东电信
CCTV13,http://116.30.248.183:9876/rtp/239.253.43.196:5146$广东电信
CCTV14,http://121.56.186.21:4022/rtp/239.29.0.121:5000$内蒙古电信
CCTV14,http://116.30.248.139:9876/rtp/239.77.0.133:5146$广东电信
CCTV14,http://116.30.248.139:9876/rtp/239.77.1.161:5146$广东电信
CCTV14,http://180.117.136.123:55555/rtp/239.49.8.56:9826$江苏电信
CCTV14,http://113.110.203.130:55555/rtp/239.77.0.133:5146$广东电信
CCTV14,http://113.110.203.130:55555/rtp/239.77.1.161:5146$广东电信
CCTV14,http://111.227.41.176:7000/rtp/239.254.200.162:6000$河北省电信
CCTV14,http://180.159.98.21:10001/rtp/239.45.3.23:5140$上海市电信
CCTV14,http://113.25.107.142:10000/rtp/239.1.1.21:8021$山西电信
CCTV14,http://183.30.202.8:8000/rtp/239.77.0.133:5146$广东电信
CCTV14,http://183.30.202.8:8000/rtp/239.77.1.161:5146$广东电信
CCTV14,http://116.30.248.183:9876/rtp/239.77.0.133:5146$广东电信
CCTV14,http://116.30.248.183:9876/rtp/239.77.1.161:5146$广东电信
